WKT,NAME,TRAIL1,TRAIL2,TRAIL3,SOURCE
POINT (-81.56687 41.16700),2925 Akron-Peninsula Rd,Adam Run Trail,Spring Hollow Trail,,MPSSC
POINT (-81.54994 41.16870),2925 Akron-Peninsula Rd,Adam Run Trail,,,MPSSC
POINT (-81.454727 41.076686),550 Frazier Ave,Alder Trail,Piney Woods Trail,,MPSSC
POINT (-81.45103 41.07541),550 Frazier Ave,Parcours Trail,,,MPSSC
POINT (-81.590462 41.170528),2550 Martin Rd,Buckeye Trail,,,MPSSC
POINT (-81.393283 41.309774),3973 E. Aurora Rd,Buttonbush Trail,,,MPSSC
POINT (-81.41596 41.31748),3973 E. Aurora Rd,Sugarbush Trail,,,MPSSC
POINT (-81.41158 41.33249),9999 Liberty Road ,Ledges Trail,,,MPSSC
POINT (-81.685150 40.991716),5000 Hametown Rd,Chippewa Trail,,,MPSSC
POINT (-81.67601 40.99690),5000 Hametown Rd,Chippewa Trail,,,MPSSC
POINT (-81.676154 40.997824),5000 Hametown Rd,Pheasant Run Trail,,,MPSSC
POINT (-81.687701 40.994018),5171 S. Medina Line Rd,Bridle Trail,,,MPSSC
POINT (-81.52165 41.12839),837 Cuyahoga St,Overlook Trail,Oxbow Trail,,MPSSC
POINT (-81.520502 41.122035),837 Cuyahoga St,Oxbow Trail,,,MPSSC
POINT (-81.51703 41.12013),837 Cuyahoga St,Chuckery Trail,,,MPSSC
POINT (-81.51530 41.12174),837 Cuyahoga St,Highbridge,Chuckery Trail,,MPSSC
POINT (-81.61873 41.25351),3100 Brush Rd,Daffodil Trail,,,MPSSC
POINT (-81.63820 41.26834),3100 Brush Rd,Rock Creek,Old Mill Trail,,MPSSC
POINT (-81.590462 41.170528),2550 Martin Rd,Deer Run Trail,Buckeye Trail,,MPSSC
POINT (-81.559130 41.135237),1400 Sand Run Parkway,Dogwood Trail,Buckeye Trail,Parkway Jogging Trail,MPSSC
POINT (-81.552238 41.129672),1400 Sand Run Parkway,Valley Link Trail,Buckeye Trail,Parkway Jogging Trail,MPSSC
POINT (-81.546353 41.127668),1400 Sand Run Parkway,Parcours Trail,Valley Link Trail,Mingo Trail,MPSSC
POINT (-81.575767 41.139413),1828 Smith Rd,Cherry Lane,Fernwood Loop Trail,Seneca Trail,MPSSC
POINT (-81.493474 41.120673),1160 Front St,Gorge Trail,Glens Trail,,MPSSC
POINT (-81.494107 41.117690),1160 Front St,Highbridge Trail,,,MPSSC
POINT (-81.425496 41.129213),521 S. River Rd,Indian Spring Trail,,,MPSSC
POINT (-81.434774 41.130579),1088 North Ave,Meadow Trail,Meadow Loop Trail,,MPSSC
POINT (-81.480755 41.219715),331 Barlow Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.518917 41.255111),298 W Boston Mills Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.540109 41.276345),8176 Brandywine Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.45697 41.14969),2985 Kent Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.41951 41.19443),5027 Stow Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.473746 41.177200),968 Springdale Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.563367 41.314619),685 Aurora Rd,Bike & Hike Trail,,,MPSSC
POINT (-81.43798 41.14273),130 N. Main St,Bike & Hike Trail,,,MPSSC
POINT (-81.433891 41.105824),245 Northeast Ave,Freedom Trail,,,MPSSC
POINT (-81.392969 41.135252),1765 Northeast Ave,Freedom Trail,,,MPSSC
POINT (-81.592710 41.023838),5 Fairview Ave,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.518198 41.087786),40 Beech St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.54022 41.12754),1337 Merriman Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.558474 41.262894),1508 Boston Mills Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.575954 41.162158),2928 Riverview Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.629303 40.929143),2749 North St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.553752 41.229968),5779 Riverview Rd,Ohio & Erie Canal Towpath Trail,Quarry Trail,Cuyahoga Trail,MPSSC
POINT (-81.617853 40.946987),2328 Center Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.572146 41.200302),2054 Bolanz Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.578474 41.193935),4300 Riverview Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.550500 41.243036),1648 Mill St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.520309 41.079543),200 S. Main St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.550441 41.023547),2740 Manchester Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.528002 41.104551),499 Memorial Pkwy,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.518043 41.091517),248 Ferndale St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.542936 41.058770),380 W. Crosier St,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.606765 40.978742),2445 Vanderhoof Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.540233 41.039440),392 W Wilbeth Rd,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.607532 41.003828),33 Snyder Ave,Ohio & Erie Canal Towpath Trail,,,MPSSC
POINT (-81.528348 41.136298),1690 Cuyahoga St,Schumacher,Valley Trail,,MPSSC
POINT (-81.517439 41.010922),40 Axline Ave,Walking Trail,,,MPSSC
POINT (-81.514891 41.012261),40 Axline Ave,Willow Trail,Redwing Trail,,MPSSC
POINT (-81.393975 41.012519),1400 Portage line Rd,Prairie Trail,,,MPSSC
